Index,Term,Tf,IDF,TF_IDF
0,red,3,0,0
1,cherry,1,0.17609,0.17609
2,fruit,10,0,0
3,comes,2,0.17609,0.35218
4,laced,1,0.47712,0.47712
5,with,22,0,0
6,light,1,0.47712,0.47712
7,tannins,4,0,0
8,giving,2,0.17609,0.35218
9,this,21,0,0
10,bright,3,0.17609,0.52827
11,wine,13,0,0
12,an,4,0,0
13,open,2,0.47712,0.95424
14,juicy,3,0,0
15,character,2,0.17609,0.35218
16,merlot,1,0.17609,0.17609
17,and,37,0,0
18,nero,1,0.47712,0.47712
19,davola,1,0.47712,0.47712
20,form,1,0.47712,0.47712
21,the,32,0,0
22,base,1,0.47712,0.47712
23,for,1,0.17609,0.17609
24,easy,1,0.17609,0.17609
25,that,5,0,0
26,would,2,0.47712,0.95424
27,pair,4,0.47712,1.9085
28,fettuccine,1,0.47712,0.47712
29,meat,2,0.47712,0.95424
30,sauce,2,0.47712,0.95424
31,or,3,0.47712,1.4314
32,pork,1,0.47712,0.47712
33,roast,1,0.47712,0.47712
34,quality,2,0.47712,0.95424
35,of,29,0,0
36,is,15,0,0
37,clean,3,0.47712,1.4314
38,sharp,1,0.47712,0.47712
39,part,2,0.47712,0.95424
40,extended,1,0.47712,0.47712
41,calanìca,1,0.47712,0.47712
42,series,1,0.47712,0.47712
43,grilloviognier,1,0.47712,0.47712
44,blend,3,0.17609,0.52827
45,shows,4,0.47712,1.9085
46,aromas,5,0,0
47,honeysuckle,1,0.47712,0.47712
48,jasmine,1,0.47712,0.47712
49,backed,2,0.47712,0.95424
50,by,4,0.17609,0.70437
51,touches,2,0.47712,0.95424
52,cut,1,0.17609,0.17609
53,grass,2,0.47712,0.95424
54,wild,1,0.47712,0.47712
55,sage,1,0.17609,0.17609
56,in,2,0,0
57,mouth,1,0.17609,0.17609
58,it,5,0,0
59,ripe,4,0,0
60,yellowfruit,1,0.47712,0.47712
61,flavors,8,0,0
62,rustic,1,0.17609,0.17609
63,dry,2,0,0
64,has,4,0,0
65,berries,1,0.17609,0.17609
66,currants,1,0.47712,0.47712
67,licorice,1,0.47712,0.47712
68,spices,1,0.47712,0.47712
69,made,2,0.47712,0.95424
70,from,2,0,0
71,cabernet,3,0.17609,0.52827
72,franc,1,0.17609,0.17609
73,sauvignon,4,0.17609,0.70437
74,a,22,0,0
75,tart,1,0,0
76,green,2,0,0
77,gooseberry,2,0.47712,0.95424
78,flavor,5,0,0
79,similar,1,0.47712,0.47712
80,to,3,0,0
81,new,2,0.47712,0.95424
82,zealand,2,0.47712,0.95424
83,blanc,3,0.47712,1.4314
84,other,1,0.17609,0.17609
85,notes,6,0,0
86,include,1,0,0
87,tropical,2,0.17609,0.35218
88,orange,2,0,0
89,honey,3,0.47712,1.4314
90,unoaked,1,0.47712,0.47712
91,splash,1,0.47712,0.47712
92,muscat,1,0.47712,0.47712
93,commendable,1,0.47712,0.47712
94,dryness,1,0.47712,0.47712
95,acidity,3,0,0
96,as,1,0,0
97,many,1,0.47712,0.47712
98,erath,1,0.47712,0.47712
99,2010,1,0.47712,0.47712
100,vineyard,1,0.47712,0.47712
101,designates,1,0.47712,0.47712
102,strongly,1,0.17609,0.17609
103,herbal,1,0.17609,0.17609
104,leaf,1,0.47712,0.47712
105,herb,2,0.17609,0.35218
106,create,1,0.47712,0.47712
107,somewhat,1,0.47712,0.47712
108,unripe,1,0.47712,0.47712
109,impressions,1,0.47712,0.47712
110,touch,2,0.17609,0.35218
111,bitterness,2,0.47712,0.95424
112,on,5,0.17609,0.88046
113,finish,5,0,0
114,just,1,0.47712,0.47712
115,passes,1,0.47712,0.47712
116,ripeness,1,0.47712,0.47712
117,sweet,4,0.47712,1.9085
118,tomatoes,1,0.47712,0.47712
119,white,3,0.17609,0.52827
120,flower,1,0.47712,0.47712
121,lychee,1,0.47712,0.47712
122,apple,1,0,0
123,carry,1,0,0
124,mellow,1,0.47712,0.47712
125,bouquet,1,0.47712,0.47712
126,chunkyfeeling,1,0.47712,0.47712
127,palate,5,0,0
128,bears,1,0.47712,0.47712
129,powdery,1,0.47712,0.47712
130,peach,1,0.17609,0.17609
131,melon,1,0.47712,0.47712
132,mixed,1,0.47712,0.47712
133,greener,1,0.47712,0.47712
134,lime,1,0.17609,0.17609
135,80,1,0.47712,0.47712
136,viognier,1,0.47712,0.47712
